periode,annee,mois,cout_panier_par_personne_htg,premiere_publication_htg,revise,editions,bulletin_retenu,definition,source_id,attribution
2021-07,2021,7,2359,2359,non,6,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-08,2021,8,2438,2438,non,6,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-09,2021,9,2518,2518,non,6,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-10,2021,10,2550,2550,non,5,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-11,2021,11,2693,2693,non,5,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-12,2021,12,2707,2707,non,5,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-01,2022,1,2798,2800,oui,5,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-02,2022,2,2921,2921,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-03,2022,3,3016,3016,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-04,2022,4,3209,3209,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-05,2022,5,3372,3372,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-06,2022,6,3550,3550,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-07,2022,7,3709,3709,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-08,2022,8,3981,3981,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-09,2022,9,4105,4105,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-10,2022,10,4782,4782,non,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-11,2022,11,5343,5332,oui,4,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2022-12,2022,12,5635,5635,non,3,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-01,2023,1,5438,5438,non,5,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
