pcode_commune,nom_commune,nom_commune_ht,operateur,points_de_service,libelles_sources,lecture_du_zero,source_id,source,licence,attribution,date_extraction
HT0714,Camp-Perrin,Kanperen,CAM Transfer,3,CAMP-PERRIN,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0442,Carice,karis,CAM Transfer,3,CARICE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0733,Cavaillon,Kavayon,CAM Transfer,3,CAVAILLON,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0641,Cerca La Source,Sèka Lasous,CAM Transfer,3,CERCA-LA-SOURCE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0713,Chantal,Chantal,CAM Transfer,3,CHANTAL,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0544,Desdunes,Dedin,CAM Transfer,3,DESDUNES,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0512,Ennery,Ènri,CAM Transfer,3,ENNERY,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0513,L'Estère,Lestè,CAM Transfer,3,LESTERE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0313,Limonade,Limonad,CAM Transfer,3,LIMONADE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT1012,Petite Rivière de Nippes,Ti Rivyè Nip,CAM Transfer,3,PETITE-RIVIERE-DE-NIPPES,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
