pays,pays_source,annee_civile,mois_civil,periode,exercice_budgetaire_us,renvois_tous_types,source_id,licence,attribution,date_extraction
République dominicaine,Dominican Republic,2017,5,2017-05,2017,260,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2017,6,2017-06,2017,250,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2017,7,2017-07,2017,190,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2017,8,2017-08,2017,220,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2017,9,2017-09,2017,160,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2017,10,2017-10,2018,190,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2017,11,2017-11,2018,250,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2017,12,2017-12,2018,220,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,1,2018-01,2018,170,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,2,2018-02,2018,310,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,3,2018-03,2018,280,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,4,2018-04,2018,210,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,5,2018-05,2018,200,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,6,2018-06,2018,240,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,7,2018-07,2018,180,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,8,2018-08,2018,230,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,9,2018-09,2018,200,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,10,2018-10,2019,240,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2018,11,2018-11,2019,240,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
