enquete,annee,region,pcode_region_enquete,cartographiable,indicateur_id,precision_source,valeur,ic_bas,ic_haut,denominateur_pondere,denominateur_brut
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_DKM,,0.0,,,72,30
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_DKM,,3.1,,,77,46
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_DKM,,0.0,,,23,35
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_DKM,,0.0,,,38,55
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_DKM,,0.0,,,32,44
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_DKM,,2.1,,,15,31
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_DKM,,0.0,,,59,39
EMMUS 2000,2000,Sud,412008,oui,AH_CIGA_M_DKM,,1.6,,,36,49
EMMUS 2000,2000,Sud-Est,412003,oui,AH_CIGA_M_DKM,,0.0,,,16,29
EMMUS 2012,2012,Aire métropolitaine,412001,oui,AH_CIGA_M_DKM,,1.7,,,236,129
EMMUS 2012,2012,Artibonite,412006,oui,AH_CIGA_M_DKM,,0.0,,,129,61
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,AH_CIGA_M_DKM,,0.4,,,63,125
EMMUS 2012,2012,Centre,412007,oui,AH_CIGA_M_DKM,,0.0,,,57,73
EMMUS 2012,2012,Grand'Anse,412010,oui,AH_CIGA_M_DKM,,1.9,,,45,88
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_DKM,,2.4,,,64,127
EMMUS 2012,2012,Nippes,412011,oui,AH_CIGA_M_DKM,,3.7,,,19,39
EMMUS 2012,2012,Nord,412004,oui,AH_CIGA_M_DKM,,0.0,,,49,44
EMMUS 2012,2012,Nord-Est,412005,oui,AH_CIGA_M_DKM,,0.0,,,18,39
EMMUS 2012,2012,Nord-Ouest,412012,oui,AH_CIGA_M_DKM,,2.1,,,31,56
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,AH_CIGA_M_DKM,,2.0,,,130,67
EMMUS 2012,2012,Sud,412008,oui,AH_CIGA_M_DKM,,0.0,,,39,47
EMMUS 2012,2012,Sud-Est,412003,oui,AH_CIGA_M_DKM,,2.5,,,37,52
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_MNC,,7.6,,,72,30
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_MNC,,5.4,,,77,46
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_MNC,,10.2,,,23,35
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_MNC,,7.9,,,38,55
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_MNC,,7.5,,,32,44
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_MNC,,10.2,,,15,31
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_MNC,,11.9,,,59,39
EMMUS 2000,2000,Sud,412008,oui,AH_CIGA_M_MNC,,7.6,,,36,49
EMMUS 2000,2000,Sud-Est,412003,oui,AH_CIGA_M_MNC,,7.9,,,16,29
EMMUS 2012,2012,Aire métropolitaine,412001,oui,AH_CIGA_M_MNC,,6.9,,,236,129
EMMUS 2012,2012,Artibonite,412006,oui,AH_CIGA_M_MNC,,9.3,,,129,61
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,AH_CIGA_M_MNC,,7.7,,,63,125
EMMUS 2012,2012,Centre,412007,oui,AH_CIGA_M_MNC,,6.4,,,57,73
EMMUS 2012,2012,Grand'Anse,412010,oui,AH_CIGA_M_MNC,,4.8,,,45,88
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_MNC,,5.2,,,64,127
EMMUS 2012,2012,Nippes,412011,oui,AH_CIGA_M_MNC,,6.1,,,19,39
