pcode_commune,commune,departement,sante_min,hopital_min,ecole_min,marche_min,ecoles_declarees,ecoles_vues,ecoles_part_vue_pct,pop_ecart_ratio,part_arbres_pct,part_cultures_pct,part_bati_2020_pct,croissance_bati_pct,pvout_moyen,sante_declaree,sante_publique_declaree,sante_vue_osm,seismes_100km,seisme_max_mag,cyclones_100km,cyclone_vent_max_kmh,pluie_normale_mm,eau_permanente_km2,batiments_nb,familles_a_verifier,ecart_sante,ecart_ecoles,ecart_population
HT0513,L'Estère,Artibonite,4.7,4.9,2.1,8.7,58,18,31.0,1.11,6.94,9.01,0.698,33.1,1803.4,4,0,7,97,7,54,185,655.1,10.539,9403,1,1.75,3.22,1.11
HT0521,Gros Morne,Artibonite,1.9,3.3,2.1,3.5,163,25,15.3,1.11,41.84,0.32,0.69,31.7,1685.2,15,0,15,37,6.61,64,185,976.7,0.0,26038,1,1.0,6.52,1.11
HT0522,Terre Neuve,Artibonite,1.0,1.0,6.2,1.5,40,1,2.5,1.15,44.67,0.04,0.218,29.4,1710.5,2,0,1,38,6.61,63,185,680.4,0.0,3224,1,2.0,40.0,1.15
HT0523,Anse Rouge,Artibonite,6.3,6.4,4.8,22.7,110,27,24.5,1.81,8.54,0.76,0.683,29.9,1786.2,7,0,24,37,6.19,63,185,599.1,0.391,11018,2,3.43,4.07,1.81
HT0531,Saint-Marc,Artibonite,1.3,1.4,0.4,3.5,409,439,107.3,1.13,20.21,7.07,1.468,173.7,1768.1,19,0,100,189,7.2,61,241,1003.5,0.382,68498,1,5.26,1.07,1.13
HT0532,Verrettes,Artibonite,2.8,2.8,3.4,9.8,160,15,9.4,1.13,19.53,9.0,1.156,155.4,1733.4,9,0,18,168,7,58,241,1356.6,0.0,38716,1,2.0,10.67,1.13
HT0533,La Chapelle,Artibonite,1.0,1.0,0.3,1.1,41,19,46.3,1.11,27.45,1.26,0.361,123.3,1746.5,1,0,2,141,7,56,241,1400.0,0.0,6187,0,2.0,2.16,1.11
HT0541,Dessalines,Artibonite,2.9,2.9,2.8,7.6,137,21,15.3,1.27,21.0,22.96,0.853,76.0,1767.3,21,0,17,154,7,57,185,981.4,0.0,36523,1,1.24,6.52,1.27
HT0542,Petite Rivière de l'Artibonite,Artibonite,3.7,3.7,8.0,8.6,163,12,7.4,1.13,22.26,11.16,0.629,121.1,1729.8,9,0,14,156,7,58,185,1325.6,0.0,39041,1,1.56,13.58,1.13
HT0543,Grande Saline,Artibonite,2.6,2.6,1.5,12.4,23,10,43.5,1.15,5.03,35.85,1.105,25.5,1858.9,2,0,4,144,7,55,185,741.5,0.112,4330,0,2.0,2.3,1.15
HT0544,Desdunes,Artibonite,1.3,2.1,1.3,2.4,38,6,15.8,1.1,0.31,22.98,0.859,38.4,1852.6,3,0,7,128,7,55,185,681.9,6.072,6561,1,2.33,6.33,1.1
HT0551,Saint-Michel de l'Attalaye,Artibonite,1.2,1.5,0.8,2.5,154,55,35.7,1.2,10.76,3.34,0.439,173.0,1732.9,8,0,16,96,7,59,185,1052.2,0.0,30999,0,2.0,2.8,1.2
HT0552,Marmelade,Artibonite,0.5,0.5,22.6,0.7,51,,,1.61,41.77,0.05,0.324,151.3,1635.7,1,0,2,39,6.61,61,185,1386.1,0.0,4270,1,2.0,,1.61
HT0611,Hinche,Centre,1.6,2.4,1.5,2.4,275,27,9.8,1.43,12.89,1.06,0.632,241.4,1763.1,12,0,16,111,7,60,213,1468.4,0.0,36778,1,1.33,10.19,1.43
