atmart_geo_id,pcode_commune,nom_commune,periode,annee_reference,sexe,tranche_age,borne_min,borne_max,rang_tranche,effectif,part_population,statut_valeur,niveau_qualite,source,date_source,date_extraction,version
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,0-4,0,4,1,20108,4.61,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,5-9,5,9,2,21384,4.91,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,10-14,10,14,3,20884,4.79,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,15-19,15,19,4,21348,4.9,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,20-24,20,24,5,22559,5.18,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,25-29,25,29,6,19505,4.48,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,30-34,30,34,7,18245,4.19,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,35-39,35,39,8,17062,3.92,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,40-44,40,44,9,14720,3.38,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,45-49,45,49,10,11670,2.68,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,50-54,50,54,11,8005,1.84,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,55-59,55,59,12,5716,1.31,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,60-64,60,64,13,3744,0.86,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,65-69,65,69,14,2473,0.57,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,70-74,70,74,15,1183,0.27,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,75-79,75,79,16,592,0.14,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,M,80 et plus,80,,17,465,0.11,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,0-4,0,4,1,39647,9.1,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,5-9,5,9,2,42761,9.81,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,10-14,10,14,3,42714,9.8,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,15-19,15,19,4,43983,10.09,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,20-24,20,24,5,45711,10.49,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,25-29,25,29,6,39056,8.96,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,30-34,30,34,7,38510,8.84,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,35-39,35,39,8,35585,8.17,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,40-44,40,44,9,31848,7.31,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,45-49,45,49,10,25648,5.89,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,50-54,50,54,11,17577,4.03,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,T,55-59,55,59,12,12377,2.84,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
