indicateur_id,libelle,unite,sens,iso3,pays,valeur,annee,rang_mondial_haiti,pays_compares,mediane_mondiale,source_id,date_extraction
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,DMA,Dominica,2.53,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,GUY,Guyana,3.33,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,KNA,St. Kitts and Nevis,3.56,2023,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,DOM,Dominican Republic,3.87,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,JAM,Jamaica,4.0,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,SUR,Suriname,9.21,2025,182,190,3.06,SRC-015,2026-09-04
SE.ADT.LITR.ZS,Alphabétisation des adultes,% des 15 ans et plus,haut,HTI,Haïti,68.01,2017,100,119,92.01,SRC-015,2026-09-04
SE.ADT.LITR.ZS,Alphabétisation des adultes,% des 15 ans et plus,haut,CUB,Cuba,97.65,2019,100,119,92.01,SRC-015,2026-09-04
SE.ADT.LITR.ZS,Alphabétisation des adultes,% des 15 ans et plus,haut,DOM,Dominican Republic,94.03,2024,100,119,92.01,SRC-015,2026-09-04
SE.ADT.LITR.ZS,Alphabétisation des adultes,% des 15 ans et plus,haut,BLZ,Belize,87.88,2022,100,119,92.01,SRC-015,2026-09-04
SE.ADT.LITR.ZS,Alphabétisation des adultes,% des 15 ans et plus,haut,GUY,Guyana,85.64,2020,100,119,92.01,SRC-015,2026-09-04
