banque,est_un_agregat,trimestre,date_reference,section,indicateur,nature,periode_libelle,valeur,provisoire,fichier_source,source_id,source,licence,attribution,date_extraction
Unibank,non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,-0.01129376,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Banque Nationale de Crédit,non,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.63171381,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Banque Populaire Haïtienne,non,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.75096955,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Banque de l'Union Haïtienne,non,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.84480002,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Capital Bank,non,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.69081189,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Citibank N.A. (succursale d'Haïti),non,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.82700998,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Ensemble du système,oui,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.66970825,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Scotiabank,non,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.86050354,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Sogebank,non,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.69620241,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Sogebel,non,2013-T4,2013-12-31,Rentabilité,Dépenses d'exploitation en % du produit net bancaire (revenus nets d'intérêt + autres revenus),flux annualisé sur la période,TRIM 1 2014      (octobre - décembre 2013),0.64070955,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
