banque,est_un_agregat,date_reference,trimestre,grandeur,valeur,unite,source_id,source,licence,attribution,date_extraction
Ensemble du système,oui,2022-09-30,2022-T3,Portefeuille de prêts brut,159014657.6,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebank,non,2022-09-30,2022-T3,Portefeuille de prêts brut,42803425.9,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebel,non,2022-09-30,2022-T3,Portefeuille de prêts brut,5279058.5,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Unibank,non,2022-09-30,2022-T3,Portefeuille de prêts brut,52948683.2,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Nationale de Crédit,non,2022-09-30,2022-T3,Succursales et points de service actifs,39.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Populaire Haïtienne,non,2022-09-30,2022-T3,Succursales et points de service actifs,4.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque de l'Union Haïtienne,non,2022-09-30,2022-T3,Succursales et points de service actifs,24.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Capital Bank,non,2022-09-30,2022-T3,Succursales et points de service actifs,25.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Citibank N.A. (succursale d'Haïti),non,2022-09-30,2022-T3,Succursales et points de service actifs,1.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Ensemble du système,oui,2022-09-30,2022-T3,Succursales et points de service actifs,195.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebank,non,2022-09-30,2022-T3,Succursales et points de service actifs,45.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
