atmart_geo_id,niveau_admin,type_entite,nom_fr,nom_ht,parent_atmart_geo_id,pcode,source_geo_id,chef_lieu_fr,chef_lieu_ht,chef_lieu_latitude,chef_lieu_longitude,superficie_km2,latitude,longitude,population,date_validite_debut,date_validite_fin,source,date_source,date_extraction,statut_valeur,methode,niveau_qualite,version
HTA-012,2,Arrondissement,Léogâne,Leyogàn,HTD-01,,HT012,Léogâne,Leyogàn,,,1005.6,18.39567856,-72.75775564,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-013,2,Arrondissement,Croix-Des-Bouquets,Kwadèboukè,HTD-01,,HT013,Croix-Des-Bouquets,Kwadèboukè,,,1939.31,18.53586117,-72.05067239,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-014,2,Arrondissement,Arcahaie,Akayè,HTD-01,,HT014,Arcahaie,Akayè,,,614.31,18.84737827,-72.4841282,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-015,2,Arrondissement,Anse à Galets,Ansa galè ,HTD-01,,HT015,Anse à Galets,Ansa galè ,,,690.86,18.84198775,-73.04661812,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-021,2,Arrondissement,Jacmel,Jakmèl,HTD-02,,HT021,Jacmel,Jakmèl,,,796.35,18.29037784,-72.47309593,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-022,2,Arrondissement,Bainet,Benè,HTD-02,,HT022,Bainet,Benè,,,475.57,18.22080913,-72.84539358,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-023,2,Arrondissement,Belle-Anse,Bèlans,HTD-02,,HT023,Belle-Anse,Bèlans,,,766.73,18.23743794,-71.95906,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-031,2,Arrondissement,Cap-Haïtien,Kap Ayisyen,HTD-03,,HT031,Cap-Haïtien,Kap Ayisyen,,,244.88,19.69086008,-72.14795647,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-032,2,Arrondissement,Acul du Nord,Akil dinò,HTD-03,,HT032,Acul du Nord,Akil dinò,,,358.56,19.65604731,-72.29270135,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
HTA-033,2,Arrondissement,Grande Rivière Du Nord,Grann Rivyè dinò,HTD-03,,HT033,Grande Rivière Du Nord,Grann Rivyè dinò,,,205.65,19.51786717,-72.14708681,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
